District,Firm Name,City,State,Zip,Country/Area,Inspection End Date,Project Area,Center/Program Area,Inspection Classification
CIN,"Charles River Laboratories Ashland, LLC",Ashland,OH,44805-8946,United States,6/20/2003,Bioresearch Monitoring,CDER,NAI
OII,Centro de Investigacion y Desarrollo Farmaceutico,Barcelona,,,Spain,6/25/2003,Bioresearch Monitoring,CDER,VAI
OII,"Centro de Investigacion y Desarrollo Aplicado, S.A.L.",Santa Perpetua de Mogoda,,,Spain,6/26/2003,Bioresearch Monitoring,CDER,VAI
DET,Bristol-Myers Squibb Company,Mount Vernon,IN,47620,United States,7/2/2003,Bioresearch Monitoring,CDER,NAI
NWJ,SGS North America Inc.,Fairfield,NJ,07004-3509,United States,7/3/2003,Bioresearch Monitoring,CDER,VAI
BLT,Charles River Laboratories Inc.,Frederick,MD,21701-3019,United States,7/16/2003,Bioresearch Monitoring,CDER,NAI
DAL,"Worldwide Clinical Trials Early Phase Servcies/Bioanalytical Sciences, Inc.",Austin,TX,78754-4565,United States,7/16/2003,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
BLT,"Quality Associates, Inc",Annapolis Junction,MD,20701-1143,United States,7/18/2003,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
SAN,Insite Vision,Alameda,CA,94501-1000,United States,7/22/2003,Bioresearch Monitoring,CDER,NAI
SAN,Instiutional Animal Care and Use Committee at UCSF,San Francisco,CA,94143-0001,United States,7/22/2003,Project Evaluation: Devices,CDRH,OAI
NOL,Ochsner Clinic Foundation,New Orleans,LA,70121-2429,United States,7/24/2003,Project Evaluation: Devices,CDRH,NAI
DET,Pfizer Animal Health,Kalamazoo,MI,49001,United States,7/25/2003,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
BLT,Bioreliance Corporation,Rockville,MD,20850-3304,United States,7/28/2003,Bioresearch Monitoring,CDER,NAI
DAL,"Ceutical Laboratories, Inc",Flower Mound,TX,75028-4006,United States,7/29/2003,Food and Color Additives Petition Review,CFSAN,VAI
PHI,Merck Sharp & Dohme LLC,West Point,PA,19486,United States,7/30/2003,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
DEN,Maxwell Ranch,Livermore,CO,80536-8908,United States,7/31/2003,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
NWE,"Alkermes, Inc.",Waltham,MA,02451-1420,United States,7/31/2003,Bioresearch Monitoring,CDER,NAI
SEA,Battelle Pacific Northwest Lab,Richland,WA,99352-0999,United States,8/1/2003,Bioresearch Monitoring,CDER,NAI
DAL,Oklahoma State University- GLP,Stillwater,OK,74078-0001,United States,8/5/2003,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
ATL,GlaxoSmithKline LLC,Durham,NC,27701-3986,United States,8/7/2003,Bioresearch Monitoring,CDER,NAI
NOL,Tulane National Primate Research Center,Covington,LA,70433-8915,United States,8/12/2003,Bioresearch Monitoring,CDER,NAI
NOL,Tulane National Primate Research Center,Covington,LA,70433-8915,United States,8/12/2003,Project Evaluation: Devices,CDRH,NAI
NOL,Tulane National Primate Research Center,Covington,LA,70433-8915,United States,8/12/2003,Vaccines and Allergenic Products,CBER,NAI
NWE,"Charles River Laboratories, Inc.",Wilmington,MA,01887-1096,United States,8/12/2003,Bioresearch Monitoring,CDER,VAI
NWE,Protein Sciences Corporation,Meriden,CT,06450-7149,United States,8/12/2003,"Human Cellular, Tissue, and Gene Therapies",CBER,NAI
SAN,Labcorp- PMD,San Carlos,CA,94070-5320,United States,8/15/2003,Project Evaluation: Devices,CDRH,VAI
LOS,North American Science Associates Inc,Irvine,CA,92618-2078,United States,8/18/2003,Bioresearch Monitoring,CDER,VAI
NWJ,Merck Research Lab,Branchburg,NJ,08876-3672,United States,8/21/2003,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
KAN,"Catalent CTS, LLC",Kansas City,MO,64137-1418,United States,8/26/2003,Bioresearch Monitoring,CDER,VAI
NWJ,Fort Dodge Animal Health,Lambertville,NJ,08530-2408,United States,8/27/2003,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
NYK,Marmotech Inc.,Slaterville Springs,NY,14881-9401,United States,8/27/2003,Bioresearch Monitoring,CDER,NAI
BLT,U.S. Army Medical Research Institute of Infectious Diseases,Fort Detrick,MD,21702-5011,United States,9/2/2003,Vaccines and Allergenic Products,CBER,VAI
PHI,Charles River Laboratories Inc.,Horsham,PA,19044-1241,United States,9/4/2003,Bioresearch Monitoring,CDER,NAI
SEA,GlaxoSmithKline,Hamilton,MT,59840-3607,United States,9/5/2003,"Human Cellular, Tissue, and Gene Therapies",CBER,VAI
SEA,GlaxoSmithKline,Hamilton,MT,59840-3607,United States,9/5/2003,Vaccines and Allergenic Products,CBER,VAI
NOL,USAntibiotics LLC,Bristol,TN,37620-5413,United States,9/10/2003,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
PHI,Janssen Research & Development,Spring House,PA,19477-0779,United States,9/10/2003,Bioresearch Monitoring,CDER,NAI
BLT,"BIOCON, Incorporated",Rockville,MD,20850-1360,United States,9/11/2003,Project Evaluation: Devices,CDRH,NAI
CIN,Charles River Laboratories Inc,Spencerville,OH,45887-1064,United States,9/11/2003,Bioresearch Monitoring,CDER,VAI
CIN,Charles River Laboratories Inc,Spencerville,OH,45887-1064,United States,9/11/2003,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,OAI
NOL,Southern Research Institute,Birmingham,AL,35205-2708,United States,9/11/2003,Bioresearch Monitoring,CDER,NAI
BLT,Bioqual Inc,Rockville,MD,20850-3336,United States,9/15/2003,Bioresearch Monitoring,CDER,VAI
CHI,"Experimur, A Frontage Company",Chicago,IL,60609-2514,United States,9/15/2003,Bioresearch Monitoring,CDER,VAI
CIN,Neogen Corporation,Lexington,KY,40511-1001,United States,9/15/2003,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
NYK,Pfizer Research Chazy DSRD,Chazy,NY,12921-2420,United States,9/18/2003,Bioresearch Monitoring,CDER,NAI
DET,"Inotiv, Inc",Mount Vernon,IN,47620-9627,United States,9/19/2003,Bioresearch Monitoring,CDER,NAI
NWJ,"Labcorp Early Development Laboratories, Inc.",Somerset,NJ,08873-7378,United States,9/19/2003,Bioresearch Monitoring,CDER,NAI
NWE,Charles River Laboratories Preclinical Services,Worcester,MA,01608-1114,United States,9/23/2003,Bioresearch Monitoring,CDER,VAI
NWJ,Sanofi-Aventis U.S. LLC,Bridgewater,NJ,08807-1265,United States,9/24/2003,Bioresearch Monitoring,CDER,VAI
DEN,Sonrise Feeders,Wellington,CO,80549-1709,United States,9/25/2003,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
NWE,"Gwathmey, Inc.",Cambridge,MA,02138-1044,United States,9/25/2003,Bioresearch Monitoring,CDER,VAI
NWJ,Consumer Product Testing Co. Inc.,Fairfield,NJ,07004-2514,United States,9/26/2003,Bioresearch Monitoring,CDER,VAI
SAN,"Genentech, Inc.",South San Francisco,CA,94080-4918,United States,9/26/2003,Vaccines and Allergenic Products,CBER,NAI
NWJ,"Eurofins Scientific, Inc.",East Brunswick,NJ,08816-3206,United States,9/29/2003,Bioresearch Monitoring,CDER,NAI
NWJ,Product Safety Labs,Dayton,NJ,08810-1500,United States,9/29/2003,Bioresearch Monitoring,CDER,VAI
BLT,Ore Pharmaceuticals Inc,Gaithersburg,MD,20878-1703,United States,10/17/2003,Bioresearch Monitoring,CDER,OAI
ATL,Veritas Laboratories Inc,Burlington,NC,27215-5879,United States,10/20/2003,Bioresearch Monitoring,CDER,NAI
ATL,"Integrated Laboratory Systems LLC, An Inotiv Company",Morrisville,NC,27560-6363,United States,10/21/2003,Bioresearch Monitoring,CDER,VAI
SAN,HMS Veterinary Development Inc,Tulare,CA,93274-9730,United States,10/30/2003,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
DEN,"Qlt Usa, Inc.",Fort Collins,CO,80526-1843,United States,10/31/2003,Bioresearch Monitoring,CDER,VAI
MIN,"Geneva Laboratories, Inc",Elkhorn,WI,53121-2027,United States,10/31/2003,Project Evaluation: Devices,CDRH,VAI
SAN,California Primate Research,Davis,CA,95616,United States,10/31/2003,Vaccines and Allergenic Products,CBER,NAI
NWE,"Smithers ERS, LLC",Wareham,MA,02571-1037,United States,11/5/2003,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
SAN,Pacific BioLabs,Hercules,CA,94547-1830,United States,11/5/2003,Bioresearch Monitoring,CDER,NAI
PHI,Haskell Laboratory for Health & Environmental Sciences,Newark,DE,19711-3507,United States,11/6/2003,Bioresearch Monitoring,CDER,NAI
PHI,Haskell Laboratory for Health & Environmental Sciences,Newark,DE,19711-3507,United States,11/6/2003,Food and Color Additives Petition Review,CFSAN,NAI
NOL,Tulane University Health Sciences Center,New Orleans,LA,70112-2632,United States,11/12/2003,Bioresearch Monitoring,CDER,NAI
NOL,Tulane University Health Sciences Center,New Orleans,LA,70112-2632,United States,11/12/2003,Project Evaluation: Devices,CDRH,NAI
NYK,Roswell Park Cancer Institute,Buffalo,NY,14263-0001,United States,11/12/2003,Bioresearch Monitoring,CDER,VAI
PHI,GlaxoSmithKline LLC,King of Prussia,PA,19406-2711,United States,11/13/2003,Bioresearch Monitoring,CDER,NAI
SEA,"Biodevelopment Associates, Llc",Mountlake Terrace,WA,98043-3137,United States,11/13/2003,Project Evaluation: Devices,CDRH,OAI
ATL,Charles River Laboratories,Durham,NC,27703-9399,United States,11/18/2003,Bioresearch Monitoring,CDER,NAI
MIN,USGS - UMESC,La Crosse,WI,54603-1223,United States,11/20/2003,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
MIN,"Ridglan Farms,Inc",Blue Mounds,WI,53517-9642,United States,11/21/2003,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
SAN,Histopathology Reference Laboratory,Richmond,CA,94806-5718,United States,11/26/2003,Bioresearch Monitoring,CDER,NAI
MIN,Wisconsin National Primate Research Center,Madison,WI,53715-1237,United States,12/5/2003,Vaccines and Allergenic Products,CBER,NAI
NWJ,"Merck & Co., Inc.",Springfield,NJ,07081-3121,United States,12/5/2003,Bioresearch Monitoring,CDER,NAI
CHI,IIT Research Institute,Chicago,IL,60616-3717,United States,12/8/2003,Bioresearch Monitoring,CDER,OAI
CIN,Case Western Reserve University,Cleveland,OH,44106-1712,United States,12/9/2003,Project Evaluation: Devices,CDRH,OAI
LOS,"University of California, San Diego Dept of Anesthesiology",San Diego,CA,92103-2071,United States,12/10/2003,Bioresearch Monitoring,CDER,VAI
NYK,"iuvo BioScience Operations, LLC",Rush,NY,14543-9790,United States,12/10/2003,Bioresearch Monitoring,CDER,NAI
CHI,University Of Chicago Medicine,Chicago,IL,60637-1426,United States,12/16/2003,Project Evaluation: Devices,CDRH,NAI
MIN,"WuXi AppTec, Inc.",Saint Paul,MN,55120-1175,United States,12/18/2003,Vaccines and Allergenic Products,CBER,VAI
CIN,"Frontage Laboratories, Inc.",Concord Township,OH,44077-9041,United States,1/9/2004,Bioresearch Monitoring,CDER,VAI
SEA,Veterans Affairs Puget Sound Health Systems,Seattle,WA,98108-1532,United States,1/13/2004,Project Evaluation: Devices,CDRH,OAI
PHI,"ASTB Analytical Services, Inc.",New Castle,DE,19720-1414,United States,1/15/2004,Project Evaluation: Devices,CDRH,NAI
PHI,"Millenium Bioresearch Laboratories, Inc",Spinnerstown,PA,18968,United States,1/15/2004,Bioresearch Monitoring,CDER,NAI
NWJ,J & J (Ncs),Raritan,NJ,08869,United States,1/23/2004,Bioresearch Monitoring,CDER,NAI
NWJ,"J&J Pharmaceutical Research & Development, L.L.C.",Raritan,NJ,08869-1425,United States,1/23/2004,Bioresearch Monitoring,CDER,VAI
NWJ,University of Medicine / Dentistry,Camden,NJ,08103-1505,United States,1/23/2004,Project Evaluation: Devices,CDRH,VAI
CIN,Battelle Memorial Institute,Columbus,OH,43201-2696,United States,1/27/2004,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
SEA,Johnson Edward G Dvm,Parma,ID,83660-7221,United States,1/28/2004,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
LOS,"California Property Holdings III, LLC",Camarillo,CA,93012-8530,United States,1/29/2004,Project Evaluation: Devices,CDRH,VAI
NWE,Biomedical Engineering & Experimental Cardiovascular Center,Cambridge,MA,02139,United States,1/30/2004,Project Evaluation: Devices,CDRH,OAI
NWE,Pfizer Inc. Groton Laboratories,Groton,CT,06340,United States,2/4/2004,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
DEN,"Colorado Quality Research, Inc.",Wellington,CO,80549,United States,2/9/2004,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
SAN,Xoma (US) LLC,Berkeley,CA,94710-2700,United States,2/10/2004,Bioresearch Monitoring,CDER,NAI
NWE,Naval Blood Research Laboratory,Boston,MA,02118-2517,United States,2/11/2004,Project Evaluation: Devices,CDRH,NAI
PHI,AstraZeneca Pharmaceuticals LP,Wilmington,DE,19897-0001,United States,2/12/2004,Bioresearch Monitoring,CDER,NAI
NWJ,"inVentiv Health Clinical Lab, Inc.",Princeton,NJ,08540-6608,United States,2/18/2004,Bioresearch Monitoring,CDER,VAI
BLT,Biosynexus Inc,Gaithersburg,MD,20877-1457,United States,2/23/2004,Bioresearch Monitoring,CDER,VAI
SEA,Clinical Microbiology Inst.,Wilsonville,OR,97070-9601,United States,2/25/2004,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
SAN,Idexx Veterinary Services Inc,West Sacramento,CA,95605-1600,United States,2/27/2004,Bioresearch Monitoring,CDER,NAI
CIN,Battelle Biomedical Research Center,West Jefferson,OH,43162,United States,3/2/2004,Bioresearch Monitoring,CDER,VAI
NWJ,Tandem Labs A LabCorp Company,Ewing,NJ,08628-3200,United States,3/2/2004,Bioresearch Monitoring,CDER,NAI
KAN,Intervet Inc,De Soto,KS,66018-7103,United States,3/3/2004,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
ATL,American Cardiovascular Res Ins,Norcross,GA,30071,United States,3/4/2004,Project Evaluation: Devices,CDRH,VAI
SAN,Insite Vision,Alameda,CA,94501-1000,United States,3/12/2004,Bioresearch Monitoring,CDER,NAI
SAN,MicroMed Laboratories Inc,Petaluma,CA,94954-1110,United States,3/16/2004,Project Evaluation: Devices,CDRH,NAI
NWJ,"Xenobiotic Laboratories, Inc.",Plainsboro,NJ,08536-3339,United States,3/17/2004,Bioresearch Monitoring,CDER,VAI
NWE,Biotek,Woburn,MA,01801-6307,United States,3/23/2004,Bioresearch Monitoring,CDER,VAI
ATL,North Carolina State University- Laelom (non-clinical lab),Raleigh,NC,27606-1428,United States,3/26/2004,Bioresearch Monitoring,CDER,VAI
DET,Schering-Plough Animal Health,Terre Haute,IN,47805-9757,United States,3/30/2004,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
KAN,"Sinclair Research Center, LLC",Auxvasse,MO,65231-1012,United States,4/1/2004,Bioresearch Monitoring,CDER,NAI
LOS,"Intertek USA, Inc.",San Diego,CA,92121-5773,United States,4/2/2004,Bioresearch Monitoring,CDER,VAI
OII,"LAB Pre-Clinical Research International, Inc.",Laval,,,Canada,4/8/2004,Bioresearch Monitoring,CDER,NAI
DEN,"Southwest Bio-Labs, Inc.",Las Cruces,NM,88005-8131,United States,4/9/2004,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
KAN,Bayer Cropscience Lp,Stilwell,KS,66085-9325,United States,4/14/2004,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
NWJ,Merial Limited,N Brunswick,NJ,08902-3390,United States,4/14/2004,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
SAN,"Comparative Biosciences, Inc",Sunnyvale,CA,94085-3844,United States,4/16/2004,Bioresearch Monitoring,CDER,VAI
NWJ,Schering Corporation,Lafayette,NJ,07848-4613,United States,4/21/2004,Bioresearch Monitoring,CDER,NAI
BLT,Laboratory Corporation of America,Rockville,MD,20850-3969,United States,4/23/2004,Bioresearch Monitoring,CDER,NAI
NYK,"MBR Waverly, LLC",Waverly,NY,14892-9513,United States,4/26/2004,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
SEA,"Altasciences Preclinical Seattle, LLC",Everett,WA,98203-5898,United States,4/26/2004,Bioresearch Monitoring,CDER,NAI
DET,Charles River Laboratories,Mattawan,MI,49071-8353,United States,5/6/2004,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
SAN,HMS Veterinary Development Inc,Tulare,CA,93274-9730,United States,5/20/2004,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
ATL,Catalent Pharma Solutions LLC,Morrisville,NC,27560-9570,United States,5/28/2004,Bioresearch Monitoring,CDER,NAI
DAL,Southwest Research Institute,San Antonio,TX,78238-5166,United States,6/3/2004,Bioresearch Monitoring,CDER,NAI
ATL,Charles River Laboratories,Durham,NC,27703-9399,United States,6/4/2004,Bioresearch Monitoring,CDER,NAI
FLA,"ADPEN Laboratories, Inc.",Jacksonville,FL,32224-2601,United States,6/4/2004,Bioresearch Monitoring,CDER,NAI
KAN,Analytical Biochemistry Laboratories Inc. dba ABC Labs. Inc.,Columbia,MO,65202-8807,United States,6/9/2004,Bioresearch Monitoring,CDER,VAI
LOS,"Edwards Lifesciences, LLC",Irvine,CA,92614-5688,United States,6/15/2004,Project Evaluation: Devices,CDRH,NAI
NYK,"Lotte Biologics USA, LLC",East Syracuse,NY,13057-5051,United States,6/16/2004,Bioresearch Monitoring,CDER,NAI
ATL,"Equi-Tox, Inc.",Central,SC,29630-9601,United States,6/21/2004,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
LOS,"Cytometry Research, L.L.C.",San Diego,CA,92121-1209,United States,6/24/2004,Bioresearch Monitoring,CDER,VAI
MIN,Cardionome Laboratories@College of Pharmacy NDSU,Fargo,ND,58105,United States,6/24/2004,Food and Color Additives Petition Review,CFSAN,NAI
ATL,BRT- Burleson Research Technologies,Morrisville,NC,27560-8529,United States,6/25/2004,Bioresearch Monitoring,CDER,VAI
ATL,Gilead Sciences,Durham,NC,27707,United States,7/2/2004,Bioresearch Monitoring,CDER,VAI
DET,Covance Research Animals,Kalamazoo,MI,49009-9679,United States,7/6/2004,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
PHI,"Provident Preclinical, Inc.",Doylestown,PA,18901-2603,United States,7/7/2004,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
SAN,"Charles River Laboratories, Inc.",Reno,NV,89511-1227,United States,7/8/2004,Bioresearch Monitoring,CDER,NAI
PHI,"Zivic Laboratories, Inc",Zelienople,PA,16063,United States,7/9/2004,Project Evaluation: Devices,CDRH,NAI
NWJ,Novartis Pharmaceuticals Corporation,East Hanover,NJ,07936-1016,United States,7/10/2004,Bioresearch Monitoring,CDER,VAI
DEN,Colorado State University - Animal Reproduction & Biotechnol,Fort Collins,CO,80523-0001,United States,7/14/2004,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
NOL,LaHaye Total Eye Care,Lafayette,LA,70508-8521,United States,7/20/2004,Project Evaluation: Devices,CDRH,VAI
DET,"Labcorp Early Development Laboratories, Inc.",Greenfield,IN,46140-8501,United States,7/23/2004,Bioresearch Monitoring,CDER,NAI
DAL,Charles River Laboratories,Redfield,AR,72132,United States,7/30/2004,Bioresearch Monitoring,CDER,NAI
DEN,"Nelson Laboratories, LLC",Salt Lake City,UT,84123-6600,United States,7/30/2004,Project Evaluation: Devices,CDRH,OAI
PHI,"Research Pathology Services, Inc.",New Britain,PA,18901-5261,United States,8/2/2004,Bioresearch Monitoring,CDER,NAI
BLT,"HistoScientific Research Laboratories (HSRL), Inc.",Mount Jackson,VA,22842-9404,United States,8/3/2004,Bioresearch Monitoring,CDER,NAI
KAN,MRIGlobal,Kansas City,MO,64110-2241,United States,8/3/2004,Blood and Blood Products,CBER,NAI
ATL,Laboratory Corporation of America,Research Triangle Park,NC,27709,United States,8/4/2004,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
SEA,BASi Northwest Laboratory,McMinnville,OR,97128-8488,United States,8/4/2004,Bioresearch Monitoring,CDER,NAI
CIN,Battelle Biomedical Research Center,West Jefferson,OH,43162,United States,8/6/2004,Bioresearch Monitoring,CDER,VAI
LOS,B. Braun Medical Inc,Irvine,CA,92614-5841,United States,8/6/2004,Bioresearch Monitoring,CDER,NAI
DEN,Pyxant Labs,Salt Lake City,UT,84124-1214,United States,8/13/2004,Bioresearch Monitoring,CDER,NAI
NWE,Purdue Pharma L.P.,Stamford,CT,06901-3435,United States,8/17/2004,Bioresearch Monitoring,CDER,NAI
SAN,Roche Bioscience,Palo Alto,CA,94304-1320,United States,8/18/2004,Bioresearch Monitoring,CDER,NAI
SAN,Roche Bioscience,Palo Alto,CA,94304-1320,United States,8/19/2004,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
CIN,Charles River Laboratories Inc,Spencerville,OH,45887-1064,United States,8/20/2004,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
SAN,Roche Bioscience,Palo Alto,CA,94304-1320,United States,8/24/2004,Bioresearch Monitoring,CDER,NAI
DAL,"Lark Technologies, Inc",Houston,TX,77099-1849,United States,8/26/2004,Vaccines and Allergenic Products,CBER,NAI
LOS,"Amgen, Inc.",Thousand Oaks,CA,91320-1730,United States,8/27/2004,Bioresearch Monitoring,CDER,NAI
DAL,Alcon Research LLC,Fort Worth,TX,76134-2099,United States,8/31/2004,Bioresearch Monitoring,CDER,NAI
PHI,"Calvert Laboratories, Inc.",Scott Township,PA,18447-9600,United States,9/1/2004,Bioresearch Monitoring,CDER,NAI
LOS,Laboratory Corp of America,San Diego,CA,92121-1508,United States,9/10/2004,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
DAL,"Matthew Medlock, MD",San Antonio,TX,78209-1028,United States,9/17/2004,Bioresearch Monitoring,CDER,NAI
DAL,National Center for Toxiological Research,Jefferson,AR,72079-9501,United States,9/17/2004,Bioresearch Monitoring,CDER,VAI
CIN,"Charles River Laboratories Cleveland, Inc.",Cleveland,OH,44128-3156,United States,9/20/2004,Bioresearch Monitoring,CDER,NAI
DET,"Baxter Pharmaceutical Solutions, LLC",Bloomington,IN,47403-2624,United States,9/20/2004,Bioresearch Monitoring,CDER,NAI
KAN,Dyna-Tek Industries,Lenexa,KS,66215-2005,United States,9/24/2004,Project Evaluation: Devices,CDRH,NAI
NWE,Mass Histology Service,Warwick,RI,02888-2402,United States,9/24/2004,Bioresearch Monitoring,CDER,VAI
ATL,Yerkes National Primate Research Center,Atlanta,GA,30329-4208,United States,9/27/2004,Vaccines and Allergenic Products,CBER,NAI
CHI,"Charles River Laboratories, Inc- IL",Chicago,IL,60612-4670,United States,9/29/2004,Bioresearch Monitoring,CDER,NAI
NYK,Litron Laboratories,Rochester,NY,14623-2860,United States,9/30/2004,Bioresearch Monitoring,CDER,OAI
BLT,"Noble Life Sciences, Inc",Sykesville,MD,21784-8213,United States,10/12/2004,"Human Cellular, Tissue, and Gene Therapies",CBER,VAI
BLT,"Noble Life Sciences, Inc",Sykesville,MD,21784-8213,United States,10/12/2004,Project Evaluation: Devices,CDRH,VAI
NOL,"University of Louisiana at Lafayette, Chemical Engineering",Lafayette,LA,70504-0001,United States,10/13/2004,Project Evaluation: Devices,CDRH,NAI
BLT,"PPD Development, L.P.",Richmond,VA,23230-3323,United States,10/14/2004,Bioresearch Monitoring,CDER,NAI
PHI,Sanofi-aventis,Malvern,PA,19355-1304,United States,10/14/2004,Bioresearch Monitoring,CDER,NAI
PHI,"Provident Preclinical, Inc.",Doylestown,PA,18901-2603,United States,10/27/2004,Bioresearch Monitoring,CDER,NAI
PHI,Qualtek Molecular Laboratories,Newtown,PA,18940-3422,United States,10/27/2004,Bioresearch Monitoring,CDER,NAI
PHI,"Provident Preclinical, Inc.",Doylestown,PA,18901-2603,United States,10/28/2004,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
KAN,Schering-Plough Animal Health Corp,Williamsburg,KS,66095-8082,United States,11/2/2004,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
KAN,Dalton Cardiovascular Research Center,Columbia,MO,65211-0001,United States,11/12/2004,Project Evaluation: Devices,CDRH,NAI
ATL,Experimental Pathology Labs,Durham,NC,27713,United States,11/17/2004,Bioresearch Monitoring,CDER,NAI
CIN,Histo Techniques Ltd,Powell,OH,43065-9331,United States,11/19/2004,Bioresearch Monitoring,CDER,NAI
MIN,3M Company,Saint Paul,MN,55144-4147,United States,12/2/2004,Bioresearch Monitoring,CDER,NAI
SAN,Serologicals Inc.,Morgan Hill,CA,95037-2823,United States,12/6/2004,Bioresearch Monitoring,CDER,VAI
PHI,"Discovery Laboratories, Inc.",Warrington,PA,18976-3652,United States,12/9/2004,Bioresearch Monitoring,CDER,VAI
NWE,"Pine Lake Investments, Inc.",Bristol,CT,06010-7442,United States,12/27/2004,Bioresearch Monitoring,CDER,VAI
CHI,IIT Research Institute,Chicago,IL,60616-3717,United States,1/7/2005,Bioresearch Monitoring,CDER,OAI
SAN,"Genentech, Inc.",South San Francisco,CA,94080-4918,United States,1/7/2005,"Human Cellular, Tissue, and Gene Therapies",CBER,NAI
LOS,Best American Toxicology Testing Services,Chatsworth,CA,91311-5857,United States,1/12/2005,Pesticides and Chemical Contaminants,CFSAN,NAI
BLT,Auto Gentox Corporation,Morgantown,WV,26505,United States,1/14/2005,Food and Color Additives Petition Review,CFSAN,NAI
DAL,Univ. of TX M.D. Anderson C.C. Dept. of Veterinary Sciences,Bastrop,TX,78602-6621,United States,1/14/2005,Bioresearch Monitoring,CDER,NAI
PHI,Charles River Laboratories Inc.,Horsham,PA,19044-1241,United States,1/18/2005,Bioresearch Monitoring,CDER,NAI
ATL,Professional Lab & Research,Corapeake,NC,27926-9749,United States,1/20/2005,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
LOS,Alfred E. Mann Institute for Biomedical Engineering at USC,Los Angeles,CA,90089-0094,United States,1/24/2005,Project Evaluation: Devices,CDRH,VAI
LOS,The Lundquist Institute for Biomedical Innovation,Torrance,CA,90502-2006,United States,1/25/2005,Project Evaluation: Devices,CDRH,VAI
DEN,"New Mexico State University, Dept of Animal & Range Sciences",Las Cruces,NM,88003,United States,2/3/2005,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
DET,"KAR Bioanalytical, Inc",Kalamazoo,MI,49001-0802,United States,2/3/2005,Bioresearch Monitoring,CDER,NAI
LOS,Doheny Eye Institute,Los Angeles,CA,90033-4500,United States,2/3/2005,Project Evaluation: Devices,CDRH,NAI
KAN,University of Iowa Bone Healing Lab,Iowa City,IA,52242,United States,2/4/2005,Project Evaluation: Devices,CDRH,OAI
NWJ,SGS North America Inc.,Fairfield,NJ,07004-3509,United States,2/7/2005,Bioresearch Monitoring,CDER,VAI
DEN,Spectranetics Corporation,Colorado Springs,CO,80921-3822,United States,2/9/2005,Project Evaluation: Devices,CDRH,VAI
MIN,"Labcorp Early Development Laboratories, Inc.",Madison,WI,53704-2523,United States,2/10/2005,Bioresearch Monitoring,CDER,VAI
MIN,"Labcorp Early Development Laboratories, Inc.",Madison,WI,53704-2523,United States,2/10/2005,Project Evaluation: Devices,CDRH,VAI
KAN,"BOEHRINGER INGELHEIM ANIMAL HEALTH USA, INC",Fulton,MO,65251-3318,United States,2/18/2005,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
